516	2.2251	1.888e-005
517	2.2244	1.8284e-005
518	2.2236	1.7709e-005
519	2.2229	1.7154e-005
520	2.2221	1.6619e-005
521	2.2214	1.6102e-005
522	2.2207	1.5603e-005
523	2.2199	1.5122e-005
524	2.2192	1.4657e-005
525	2.2185	1.4208e-005
526	2.2178	1.3775e-005
527	2.2171	1.3356e-005
528	2.2164	1.2952e-005
529	2.2157	1.2561e-005
530	2.215	1.2184e-005
531	2.2144	1.1819e-005
532	2.2137	1.1467e-005
533	2.213	1.1126e-005
534	2.2124	1.0797e-005
535	2.2117	1.0479e-005
536	2.2111	1.0171e-005
537	2.2104	9.8735e-006
538	2.2098	9.5857e-006
539	2.2091	9.3074e-006
540	2.2085	9.0381e-006
541	2.2079	8.7776e-006
542	2.2072	8.5256e-006
543	2.2066	8.2817e-006
544	2.206	8.0456e-006
545	2.2054	7.8171e-006
546	2.2048	7.596e-006
547	2.2042	7.3818e-006
548	2.2036	7.1745e-006
549	2.203	6.9738e-006
550	2.2024	6.7794e-006
551	2.2018	6.5911e-006
552	2.2013	6.4086e-006
553	2.2007	6.2319e-006
554	2.2001	6.0607e-006
555	2.1996	5.8948e-006
556	2.199	5.734e-006
557	2.1984	5.5782e-006
558	2.1979	5.4272e-006
559	2.1973	5.2808e-006
560	2.1968	5.1388e-006
561	2.1962	5.0012e-006
562	2.1957	4.8677e-006
563	2.1952	4.7383e-006
564	2.1946	4.6127e-006
565	2.1941	4.4909e-006
566	2.1936	4.3728e-006
567	2.1931	4.2582e-006
568	2.1925	4.1469e-006
569	2.192	4.039e-006
570	2.1915	3.9342e-006
571	2.191	3.8326e-006
572	2.1905	3.7339e-006
573	2.19	3.6381e-006
574	2.1895	3.545e-006
575	2.189	3.4547e-006
576	2.1885	3.367e-006
577	2.188	3.2818e-006
578	2.1875	3.1991e-006
579	2.1871	3.1187e-006
580	2.1866	3.0406e-006
581	2.1861	2.9648e-006
582	2.1856	2.891e-006
583	2.1852	2.8194e-006
584	2.1847	2.7498e-006
585	2.1843	2.6821e-006
586	2.1838	2.6164e-006
587	2.1833	2.5525e-006
588	2.1829	2.4903e-006
589	2.1824	2.4299e-006
590	2.182	2.3711e-006
591	2.1815	2.314e-006
592	2.1811	2.2584e-006
593	2.1807	2.2043e-006
594	2.1802	2.1518e-006
595	2.1798	2.1006e-006
596	2.1794	2.0509e-006
597	2.1789	2.0024e-006
598	2.1785	1.9553e-006
599	2.1781	1.9095e-006
600	2.1777	1.8648e-006
601	2.1773	1.8214e-006
602	2.1768	1.7791e-006
603	2.1764	1.738e-006
604	2.176	1.6979e-006
605	2.1756	1.6589e-006
606	2.1752	1.6209e-006
607	2.1748	1.5839e-006
608	2.1744	1.5479e-006
609	2.174	1.5128e-006
610	2.1736	1.4786e-006
611	2.1732	1.4453e-006
612	2.1728	1.4129e-006
613	2.1724	1.3812e-006
614	2.1721	1.3505e-006
615	2.1717	1.3204e-006
616	2.1713	1.2912e-006
617	2.1709	1.2627e-006
618	2.1705	1.2349e-006
619	2.1702	1.2078e-006
620	2.1698	1.1814e-006
621	2.1694	1.1557e-006
622	2.1691	1.1306e-006
623	2.1687	1.1061e-006
624	2.1683	1.0822e-006
625	2.168	1.059e-006
626	2.1676	1.0363e-006
627	2.1673	1.0141e-006
628	2.1669	9.9253e-007
629	2.1666	9.7147e-007
630	2.1662	9.5091e-007
631	2.1659	9.3086e-007
632	2.1655	9.1129e-007
